iter	RMSE
0	2.465444648
1	2.452624716
2	2.440101653
3	2.425731446
4	2.414368226
5	2.401877986
6	2.389256222
7	2.377584064
8	2.363011471
9	2.350049617
10	2.338242139
11	2.327055591
12	2.316531131
13	2.301694072
14	2.293165056
15	2.280118187
16	2.269464569
17	2.255741046
18	2.245630676
19	2.233472471
20	2.225374559
21	2.217029201
22	2.205210913
23	2.193928149
24	2.181882424
25	2.173325744
26	2.161784117
27	2.150023283
28	2.140778006
29	2.134182605
30	2.122834529
31	2.114621273
32	2.104420259
33	2.096563854
34	2.088633516
35	2.080815346
36	2.073816596
37	2.066864156
38	2.059398669
39	2.049886947
40	2.043483123
41	2.035836092
42	2.029169821
43	2.019705074
44	2.012384438
45	2.003688501
46	1.996772097
47	1.990470167
48	1.984398928
49	1.978792815
50	1.971753871
51	1.966037833
52	1.958415139
53	1.95265047
54	1.943769733
55	1.938683046
56	1.933446996
57	1.927229988
58	1.921420428
59	1.91693618
60	1.91152241
61	1.905206663
62	1.900634435
63	1.894176779
64	1.889198728
65	1.884649919
66	1.87990488
67	1.876751746
68	1.870142394
69	1.865929571
70	1.861317312
71	1.856983105
72	1.852952175
73	1.850854254
74	1.846326758
75	1.841871287
76	1.838215357
77	1.833759036
78	1.830305546
79	1.824467695
80	1.820275809
81	1.814565755
82	1.810379113
83	1.805375656
84	1.801209566
85	1.799446409
86	1.794122587
87	1.789490299
88	1.784955014
89	1.780772462
90	1.778245081
91	1.774383105
92	1.770908527
93	1.767127165
94	1.762022204
95	1.758295105
96	1.753980408
97	1.749174432
98	1.744935664
99	1.741050002
100	1.738344512
101	1.735789834
102	1.731692866
103	1.729565802
104	1.725931535
105	1.72226836
106	1.718794752
107	1.715138178
108	1.711742462
109	1.709809602
110	1.706651985
111	1.703148563
112	1.699819203
113	1.69570183
114	1.691957816
115	1.687413251
116	1.685511141
117	1.682336768
118	1.681084209
119	1.676441279
120	1.673853152
121	1.670701926
122	1.667605227
123	1.664289506
124	1.66250848
125	1.661119039
126	1.660203044
127	1.658392758
128	1.655275491
129	1.65316799
130	1.650095469
131	1.646585465
132	1.643300164
133	1.641730046
134	1.638647374
135	1.636074143
136	1.632990471
137	1.631591901
138	1.628674456
139	1.626218783
140	1.622920358
141	1.619789323
142	1.616233672
143	1.614919086
144	1.614073087
145	1.611225666
146	1.609169907
147	1.608048807
148	1.605437892
149	1.602642367
150	1.601268139
151	1.599900904
152	1.59626669
153	1.595144168
154	1.592513278
155	1.589613689
156	1.586244909
157	1.583243608
158	1.581750476
159	1.580559965
160	1.579792317
161	1.578098679
162	1.577318118
163	1.575424249
164	1.573955932
165	1.571503386
166	1.570614121
167	1.56778596
168	1.566947161
169	1.564439765
170	1.563141843
171	1.560091436
172	1.558737089
173	1.556570533
174	1.554392206
175	1.552252367
176	1.55075563
177	1.549536564
178	1.548321394
179	1.547563096
180	1.546429012
181	1.54361357
182	1.542225636
183	1.541478949
184	1.539180804
185	1.538241063
186	1.537349274
187	1.537079393
188	1.535562775
189	1.533210865
190	1.532233783
191	1.529971065
192	1.529004713
193	1.528003911
194	1.526159253
195	1.525170242
196	1.523150798
197	1.521333173
198	1.520468766
199	1.519684623
200	1.51860101
201	1.516404289
202	1.514663165
203	1.51250042
204	1.510643274
205	1.508491956
206	1.508203454
207	1.506239436
208	1.505416487
209	1.503522496
210	1.501511122
211	1.499109746
212	1.498332288
213	1.497383028
214	1.496998268
215	1.494996344
216	1.493985368
217	1.492093289
218	1.490093597
219	1.488991425
220	1.487583231
221	1.486125255
222	1.485513335
223	1.484826402
224	1.483892425
225	1.482801454
226	1.4812956
227	1.480164556
228	1.478932707
229	1.478378805
230	1.476361122
231	1.475942159
232	1.474049185
233	1.471735556
234	1.470112827
235	1.468205745
236	1.467265724
237	1.466143002
238	1.464825813
239	1.462739675
240	1.462156669
241	1.46107506
242	1.460254376
243	1.459299285
244	1.458789617
245	1.458489385
246	1.456234434
247	1.45492613
248	1.453687314
249	1.452553981
250	1.451175824
251	1.449231254
252	1.447228037
253	1.445921366
254	1.444446365
255	1.443877478
256	1.442462053
257	1.442075895
258	1.440223642
259	1.438937898
260	1.437718418
261	1.437407393
262	1.435688342
263	1.434080223
264	1.432973638
265	1.432495004
266	1.431121022
267	1.429119398
268	1.428178021
269	1.427465348
270	1.426982259
271	1.426529997
272	1.424766139
273	1.424211843
274	1.422546987
275	1.42097314
276	1.420183271
277	1.419764029
278	1.419040425
279	1.41771158
280	1.416700073
281	1.415721677
282	1.415223359
283	1.415050321
284	1.413585945
285	1.411980909
286	1.411312215
287	1.410192657
288	1.409370344
289	1.408382939
290	1.407574266
291	1.40708628
292	1.40636163
293	1.4043118
294	1.404191083
295	1.403230205
296	1.402243623
297	1.400739451
298	1.399028361
299	1.398021171
300	1.396566665
301	1.395390874
302	1.394677399
303	1.393480259
304	1.392426621
305	1.391188336
306	1.391100173
307	1.389892757
308	1.388268348
309	1.387966414
310	1.386724334
311	1.385621175
312	1.384673165
313	1.383924451
314	1.383460404
315	1.3829175
316	1.382321903
317	1.380798621
318	1.380625247
319	1.37994909
320	1.379550347
321	1.3787604
322	1.37782679
323	1.377478361
324	1.376693752
325	1.376362055
326	1.3751062
327	1.374314535
328	1.373204073
329	1.372994701
330	1.372942594
331	1.371535235
332	1.370917126
333	1.370644084
334	1.370272139
335	1.370022238
336	1.369274133
337	1.368690169
338	1.368571853
339	1.368375043
340	1.368312767
341	1.368248405
342	1.367760311
343	1.367038656
344	1.365900436
345	1.365046223
346	1.364101136
347	1.363258744
348	1.361909801
349	1.361624678
350	1.360826927
351	1.359671406
352	1.358684285
353	1.358616507
354	1.357427903
355	1.355946838
356	1.354864304
357	1.354208661
358	1.352948108
359	1.35197521
360	1.351006905
361	1.350200798
362	1.349865712
363	1.349786989
364	1.348929015
365	1.348745486
366	1.348673996
367	1.348131505
368	1.347617874
369	1.346807471
370	1.346749643
371	1.345719076
372	1.34478368
373	1.343850852
374	1.343029757
375	1.342419163
376	1.34232027
377	1.342232367
378	1.341646486
379	1.340826597
380	1.339913884
381	1.339855907
382	1.339682281
383	1.339626806
384	1.338860839
385	1.338411033
386	1.337522071
387	1.337461302
388	1.33656531
389	1.335680012
390	1.334863153
391	1.334109076
392	1.333185774
393	1.33237608
394	1.331502539
395	1.331442605
396	1.330999631
397	1.329792581
398	1.329731988
399	1.329311001
400	1.328488951
401	1.327561967
402	1.326294352
403	1.325432687
404	1.32443537
405	1.323988343
406	1.323516663
407	1.322706654
408	1.322650327
409	1.322045463
410	1.321550876
411	1.320845497
412	1.319943038
413	1.319019603
414	1.318266742
415	1.317482055
416	1.316866099
417	1.316458628
418	1.315940506
419	1.315346334
420	1.314462623
421	1.313626726
422	1.313551507
423	1.313037897
424	1.312288286
425	1.312235544
426	1.311867289
427	1.311808909
428	1.311734265
429	1.31117978
430	1.309593208
431	1.308911081
432	1.308209276
433	1.307364965
434	1.306983391
435	1.306917047
436	1.305724665
437	1.304738707
438	1.304349483
439	1.303612414
440	1.303024397
441	1.301885051
442	1.301816212
443	1.301238286
444	1.300587621
445	1.300515595
446	1.30001986
447	1.29940099
448	1.298876926
449	1.298465293
450	1.298016077
451	1.297071409
452	1.296413799
453	1.296046823
454	1.295513767
455	1.295167789
456	1.294443072
457	1.293333163
458	1.292932825
459	1.292356839
460	1.291637944
461	1.291320728
462	1.290817129
463	1.290397246
464	1.289777237
465	1.289084918
466	1.288618453
467	1.28802197
468	1.287392922
469	1.287065052
470	1.286407985
471	1.285898401
472	1.285088917
473	1.284412214
474	1.282895038
475	1.282230775
476	1.281783668
477	1.281344778
478	1.280690764
479	1.279909195
480	1.279267839
481	1.278208765
482	1.277263513
483	1.276721582
484	1.276673808
485	1.276128105
486	1.275392001
487	1.27529864
488	1.274232152
489	1.273599151
490	1.272615676
491	1.271315412
492	1.270559761
493	1.269965041
494	1.269166726
495	1.269122616
496	1.268410866
497	1.267849973
498	1.266852343
499	1.26655665
500	1.26575423
501	1.265276975
502	1.264322571
503	1.26335734
504	1.262903682
505	1.262481859
506	1.262060587
507	1.261269649
508	1.26053418
509	1.259968823
510	1.259918396
511	1.259373981
512	1.258903729
513	1.258383939
514	1.257846393
515	1.25722825
516	1.256829855
517	1.2565731
518	1.256530865
519	1.255955755
520	1.255906026
521	1.255354619
