iter	Passed	Remaining
0	399	797853
1	407	406629
2	415	276594
3	422	210640
4	428	170963
5	436	145152
6	443	126350
7	450	112259
8	457	101199
9	465	92691
10	472	85449
11	478	79351
12	486	74295
13	492	69909
14	501	66350
15	509	63178
16	516	60212
17	523	57625
18	529	55215
19	537	53211
20	544	51358
21	553	49733
22	563	48413
23	575	47387
24	583	46080
25	589	44749
26	596	43586
27	604	42541
28	610	41518
29	616	40504
30	623	39621
31	630	38802
32	637	37973
33	643	37228
34	651	36568
35	659	35957
36	665	35314
37	673	34749
38	681	34269
39	689	33805
40	696	33270
41	703	32814
42	711	32378
43	718	31938
44	724	31495
45	731	31088
46	739	30710
47	745	30307
48	757	30165
49	770	30056
50	782	29896
51	790	29619
52	797	29286
53	804	29004
54	811	28711
55	819	28458
56	826	28167
57	832	27874
58	840	27652
59	849	27454
60	855	27206
61	864	27009
62	870	26754
63	879	26596
64	887	26424
65	894	26206
66	902	26037
67	909	25827
68	915	25622
69	923	25450
70	929	25263
71	938	25135
72	945	24970
73	956	24882
74	968	24865
75	977	24757
76	986	24643
77	994	24508
78	1002	24378
79	1008	24211
80	1015	24057
81	1023	23933
82	1030	23796
83	1037	23675
84	1045	23546
85	1052	23419
86	1058	23280
87	1066	23177
88	1075	23095
89	1086	23047
90	1096	23012
91	1110	23021
92	1121	22987
93	1131	22951
94	1140	22863
95	1150	22819
96	1162	22798
97	1175	22806
98	1183	22718
99	1192	22649
100	1198	22542
101	1206	22441
102	1215	22391
103	1222	22293
104	1235	22304
105	1248	22304
106	1256	22236
107	1263	22134
108	1272	22072
109	1280	22005
110	1288	21921
111	1296	21861
112	1304	21787
113	1311	21696
114	1318	21616
115	1326	21543
116	1332	21447
117	1340	21379
118	1347	21304
119	1356	21253
120	1370	21289
121	1379	21241
122	1387	21180
123	1395	21105
124	1401	21029
125	1408	20945
126	1414	20861
127	1420	20777
128	1429	20739
129	1437	20671
130	1445	20618
131	1452	20552
132	1458	20469
133	1466	20417
134	1474	20374
135	1482	20324
136	1489	20261
137	1496	20187
138	1504	20146
139	1512	20098
140	1519	20028
141	1525	19964
142	1533	19907
143	1539	19848
144	1546	19790
145	1560	19812
146	1573	19833
147	1584	19831
148	1591	19776
149	1598	19718
150	1606	19670
151	1613	19616
152	1620	19563
153	1628	19521
154	1635	19466
155	1642	19416
156	1649	19362
157	1656	19306
158	1664	19277
159	1672	19231
160	1678	19171
161	1685	19121
162	1691	19065
163	1698	19018
164	1706	18975
165	1712	18920
166	1719	18869
167	1725	18818
168	1732	18769
169	1738	18713
170	1746	18683
171	1755	18654
172	1762	18613
173	1769	18567
174	1776	18529
175	1791	18571
176	1798	18520
177	1804	18471
178	1811	18431
179	1819	18394
180	1831	18409
181	1842	18405
182	1849	18360
183	1856	18318
184	1865	18306
185	1873	18275
186	1883	18259
187	1895	18265
188	1912	18320
189	1918	18277
190	1926	18245
191	1932	18198
192	1939	18162
193	1946	18118
194	1952	18074
195	1964	18081
196	1972	18049
197	1979	18014
198	1986	17978
199	1993	17939
200	2001	17917
201	2010	17892
202	2020	17886
203	2028	17861
204	2035	17824
205	2042	17783
206	2050	17756
207	2057	17725
208	2065	17699
209	2072	17666
210	2078	17625
211	2086	17595
212	2092	17559
213	2100	17532
214	2108	17505
215	2115	17473
216	2124	17459
217	2131	17422
218	2137	17382
219	2143	17345
220	2151	17322
221	2160	17302
222	2168	17281
223	2175	17249
224	2183	17229
225	2192	17213
226	2201	17195
227	2210	17177
228	2238	17308
229	2252	17336
230	2260	17314
231	2269	17295
232	2278	17277
233	2286	17252
234	2293	17228
235	2301	17200
236	2310	17185
237	2317	17156
238	2323	17119
239	2330	17088
240	2338	17065
241	2352	17089
242	2363	17086
243	2370	17061
244	2377	17033
245	2387	17022
246	2396	17008
247	2405	16992
248	2413	16969
249	2419	16937
250	2426	16907
251	2437	16904
252	2449	16917
253	2456	16889
254	2464	16866
255	2471	16836
256	2477	16804
257	2484	16775
258	2491	16747
259	2498	16718
260	2504	16687
261	2511	16660
262	2517	16625
263	2526	16615
264	2533	16590
265	2540	16562
266	2546	16530
267	2553	16504
268	2562	16491
269	2573	16487
270	2580	16463
271	2591	16461
272	2602	16463
273	2609	16436
274	2615	16405
275	2621	16375
276	2629	16355
277	2637	16335
278	2643	16307
279	2651	16285
280	2657	16259
281	2667	16249
282	2677	16245
283	2683	16214
284	2690	16189
285	2696	16162
286	2702	16132
287	2711	16115
288	2717	16088
289	2723	16060
290	2730	16034
291	2738	16018
292	2744	15991
293	2751	15965
294	2760	15952
295	2766	15928
296	2778	15933
297	2786	15912
298	2793	15892
299	2801	15873
300	2808	15854
301	2815	15829
302	2822	15807
303	2829	15785
304	2837	15768
305	2846	15756
306	2853	15736
307	2861	15717
308	2868	15695
309	2874	15670
310	2883	15662
311	2890	15637
312	2896	15611
313	2903	15590
314	2912	15579
315	2923	15582
316	2931	15562
317	2937	15539
318	2944	15513
319	2950	15489
320	2958	15474
321	2966	15457
322	2973	15436
323	2980	15416
324	2990	15413
325	2997	15394
326	3004	15371
327	3010	15348
328	3019	15338
329	3026	15318
330	3031	15287
331	3040	15277
332	3049	15265
333	3063	15279
334	3070	15258
335	3076	15237
336	3082	15211
337	3089	15189
338	3096	15172
339	3102	15149
340	3108	15124
341	3114	15100
342	3120	15076
343	3128	15061
344	3135	15041
345	3141	15017
346	3147	14994
347	3157	14987
348	3171	15004
349	3179	14990
350	3188	14979
351	3195	14961
352	3204	14951
353	3215	14950
354	3221	14929
355	3229	14913
356	3238	14903
357	3250	14909
358	3259	14900
359	3266	14880
360	3273	14860
361	3279	14839
362	3285	14817
363	3292	14797
364	3298	14777
365	3305	14755
366	3314	14745
367	3321	14730
368	3327	14708
369	3334	14690
370	3340	14669
371	3348	14655
372	3363	14670
373	3370	14654
374	3378	14640
375	3389	14640
376	3400	14638
377	3406	14617
378	3413	14598
379	3420	14581
380	3428	14566
381	3434	14546
382	3440	14526
383	3447	14506
384	3453	14487
385	3460	14469
386	3466	14449
387	3473	14429
388	3479	14410
389	3485	14390
390	3494	14379
391	3500	14360
392	3507	14343
393	3516	14331
394	3522	14314
395	3531	14304
396	3537	14284
397	3544	14267
398	3552	14253
399	3560	14243
400	3572	14243
401	3579	14229
402	3587	14215
403	3593	14198
404	3603	14190
405	3611	14178
406	3618	14164
407	3625	14145
408	3631	14126
409	3639	14115
410	3646	14097
411	3652	14079
412	3659	14061
413	3665	14043
414	3673	14031
415	3680	14015
416	3687	13996
417	3693	13977
418	3699	13960
419	3707	13948
420	3713	13929
421	3720	13911
422	3726	13894
423	3732	13874
424	3741	13866
425	3749	13853
426	3757	13840
427	3763	13822
428	3771	13811
429	3779	13801
430	3787	13787
431	3794	13774
432	3802	13762
433	3812	13758
434	3819	13741
435	3826	13724
436	3832	13707
437	3839	13691
438	3847	13680
439	3853	13661
440	3859	13645
441	3866	13629
442	3873	13615
443	3880	13597
444	3886	13580
445	3892	13563
446	3899	13547
447	3907	13538
448	3914	13521
449	3921	13507
450	3927	13489
451	3934	13473
452	3944	13470
453	3951	13456
454	3958	13440
455	3965	13427
456	3975	13423
457	3984	13413
458	3991	13400
459	3998	13387
460	4007	13379
461	4018	13377
462	4026	13365
463	4033	13351
464	4040	13337
465	4046	13322
466	4053	13307
467	4060	13290
468	4066	13275
469	4073	13260
470	4083	13255
471	4089	13240
472	4096	13226
473	4103	13210
474	4109	13195
475	4119	13188
476	4125	13173
477	4133	13161
478	4141	13150
479	4156	13160
480	4163	13148
481	4170	13135
482	4178	13123
483	4186	13112
484	4193	13098
485	4199	13082
486	4206	13068
487	4213	13055
488	4221	13045
489	4229	13033
490	4237	13022
491	4243	13007
492	4250	12991
493	4257	12978
494	4263	12963
495	4270	12947
496	4276	12931
497	4283	12920
498	4293	12915
499	4301	12903
500	4307	12888
501	4314	12873
502	4322	12863
503	4329	12851
504	4335	12835
505	4343	12825
506	4351	12813
507	4360	12805
508	4367	12792
509	4381	12801
510	4392	12800
511	4404	12801
512	4411	12787
513	4418	12775
514	4426	12763
515	4436	12758
516	4442	12744
517	4449	12729
518	4455	12714
519	4464	12705
520	4470	12691
521	4477	12677
522	4483	12661
523	4489	12646
524	4497	12636
525	4504	12623
526	4510	12607
527	4517	12593
528	4524	12580
529	4537	12584
530	4545	12575
531	4553	12564
532	4559	12549
533	4566	12535
534	4572	12521
535	4579	12509
536	4586	12496
537	4593	12483
538	4599	12468
539	4607	12457
540	4613	12441
541	4619	12425
542	4625	12411
543	4631	12397
544	4643	12397
545	4653	12391
546	4659	12377
547	4665	12362
548	4671	12347
549	4679	12336
550	4685	12322
551	4692	12308
552	4698	12292
553	4704	12278
554	4714	12273
555	4725	12273
556	4732	12260
557	4739	12247
558	4745	12234
559	4755	12229
560	4766	12227
561	4773	12213
562	4780	12201
563	4786	12187
564	4795	12178
565	4802	12166
566	4810	12156
567	4817	12145
568	4825	12135
569	4832	12123
570	4838	12109
571	4845	12097
572	4851	12081
573	4859	12073
574	4866	12061
575	4873	12047
576	4879	12034
577	4886	12021
578	4893	12010
579	4899	11996
580	4906	11982
581	4912	11969
582	4920	11960
583	4928	11948
584	4935	11936
585	4942	11925
586	4949	11913
587	4957	11905
588	4965	11896
589	4972	11884
590	4980	11874
591	4990	11868
592	5002	11868
593	5009	11857
594	5015	11843
595	5023	11832
596	5030	11821
597	5042	11820
598	5051	11814
599	5057	11799
600	5063	11787
601	5074	11784
602	5082	11774
603	5089	11762
604	5095	11749
605	5102	11736
606	5108	11724
607	5115	11711
608	5130	11719
609	5141	11715
610	5149	11705
611	5156	11693
612	5165	11687
613	5172	11676
614	5180	11666
615	5187	11654
616	5193	11640
617	5201	11631
618	5208	11619
619	5214	11606
620	5221	11595
621	5230	11587
622	5236	11574
623	5243	11562
624	5249	11549
625	5257	11538
626	5264	11527
627	5270	11514
628	5277	11502
629	5283	11488
630	5290	11477
631	5296	11464
632	5302	11451
633	5308	11438
634	5314	11424
635	5322	11414
636	5327	11400
637	5335	11389
638	5342	11379
639	5349	11367
640	5363	11372
641	5379	11379
642	5385	11366
643	5391	11353
644	5398	11340
645	5404	11328
646	5411	11316
647	5418	11306
648	5425	11295
649	5431	11281
650	5439	11272
651	5446	11260
652	5452	11247
653	5461	11241
654	5469	11231
655	5476	11219
656	5483	11208
657	5490	11197
658	5499	11190
659	5510	11188
660	5521	11184
661	5529	11176
662	5536	11165
663	5548	11163
664	5562	11167
665	5573	11164
666	5579	11150
667	5586	11139
668	5592	11127
669	5598	11114
670	5606	11103
671	5613	11092
672	5619	11080
673	5626	11068
674	5633	11058
675	5639	11045
676	5646	11035
677	5655	11026
678	5663	11018
679	5669	11005
680	5676	10994
681	5684	10984
682	5691	10973
683	5696	10960
684	5702	10947
685	5710	10937
686	5717	10927
687	5728	10924
688	5741	10925
689	5756	10929
690	5762	10916
691	5769	10906
692	5776	10895
693	5782	10881
694	5789	10870
695	5796	10860
696	5802	10848
697	5810	10837
698	5817	10827
699	5824	10816
700	5830	10804
701	5839	10796
702	5848	10789
703	5856	10781
704	5863	10770
705	5870	10759
706	5878	10750
707	5884	10738
708	5890	10726
709	5897	10715
710	5904	10705
711	5911	10694
712	5918	10682
713	5932	10685
714	5948	10690
715	5961	10690
716	5968	10679
717	5975	10668
718	5982	10658
719	5990	10649
720	5996	10637
721	6003	10626
722	6010	10616
723	6017	10605
724	6025	10596
725	6035	10590
726	6041	10579
727	6048	10568
728	6056	10558
729	6062	10547
730	6069	10536
731	6076	10526
732	6089	10525
733	6097	10516
734	6103	10503
735	6110	10493
736	6121	10489
737	6135	10491
738	6145	10485
739	6151	10473
740	6158	10464
741	6169	10459
742	6176	10449
743	6183	10438
744	6189	10427
745	6197	10418
746	6205	10408
747	6210	10395
748	6217	10385
749	6225	10375
750	6230	10362
751	6238	10353
752	6245	10342
753	6257	10341
754	6264	10330
755	6270	10318
756	6278	10308
757	6285	10299
758	6291	10287
759	6297	10275
760	6304	10265
761	6311	10253
762	6317	10241
763	6329	10239
764	6342	10238
765	6355	10237
766	6366	10234
767	6373	10223
768	6379	10212
769	6386	10201
770	6392	10190
771	6401	10183
772	6408	10172
773	6414	10161
774	6423	10152
775	6434	10149
776	6441	10138
777	6447	10126
778	6453	10115
779	6460	10105
780	6466	10092
781	6472	10081
782	6479	10070
783	6485	10059
784	6492	10048
785	6499	10039
786	6505	10027
787	6512	10017
788	6519	10006
789	6530	10002
790	6539	9994
791	6545	9984
792	6552	9974
793	6560	9964
794	6569	9957
795	6576	9946
796	6582	9935
797	6589	9924
798	6595	9913
799	6602	9903
800	6608	9891
801	6616	9883
802	6623	9873
803	6631	9864
804	6637	9853
805	6644	9842
806	6650	9831
807	6656	9820
808	6666	9814
809	6673	9803
810	6680	9793
811	6686	9782
812	6693	9771
813	6701	9763
814	6707	9752
815	6715	9744
816	6725	9738
817	6750	9754
818	6765	9755
819	6774	9749
820	6781	9738
821	6788	9728
822	6794	9717
823	6800	9706
824	6809	9698
825	6817	9689
826	6823	9678
827	6831	9669
828	6838	9659
829	6844	9647
830	6850	9636
831	6858	9628
832	6865	9617
833	6872	9608
834	6879	9598
835	6886	9587
836	6893	9577
837	6899	9567
838	6906	9557
839	6920	9556
840	6937	9560
841	6949	9558
842	6958	9549
843	6965	9540
844	6973	9531
845	6983	9526
846	6993	9519
847	6999	9509
848	7007	9500
849	7013	9489
850	7021	9480
851	7032	9476
852	7057	9490
853	7073	9492
854	7082	9484
855	7090	9475
856	7098	9467
857	7108	9461
858	7116	9453
859	7127	9448
860	7141	9447
861	7148	9437
862	7156	9428
863	7162	9417
864	7170	9408
865	7177	9398
866	7186	9391
867	7194	9382
868	7204	9376
869	7211	9367
870	7218	9356
871	7225	9346
872	7231	9335
873	7240	9327
874	7249	9320
875	7255	9309
876	7262	9299
877	7268	9288
878	7276	9279
879	7285	9272
880	7292	9262
881	7298	9251
882	7305	9241
883	7312	9231
884	7319	9222
885	7325	9211
886	7334	9203
887	7343	9195
888	7351	9187
889	7358	9177
890	7364	9166
891	7372	9157
892	7382	9152
893	7390	9143
894	7397	9133
895	7404	9123
896	7411	9113
897	7419	9105
898	7426	9095
899	7434	9086
900	7440	9076
901	7447	9065
902	7456	9058
903	7464	9049
904	7471	9040
905	7477	9029
906	7484	9018
907	7491	9009
908	7499	9000
909	7506	8991
910	7513	8981
911	7521	8973
912	7532	8967
913	7538	8957
914	7545	8947
915	7552	8938
916	7565	8935
917	7579	8933
918	7585	8922
919	7592	8912
920	7599	8902
921	7605	8892
922	7611	8881
923	7619	8872
924	7627	8863
925	7634	8855
926	7641	8845
927	7648	8835
928	7654	8825
929	7661	8814
930	7670	8807
931	7680	8801
932	7688	8792
933	7694	8782
934	7702	8773
935	7709	8764
936	7716	8754
937	7723	8744
938	7731	8736
939	7739	8727
940	7751	8723
941	7759	8715
942	7766	8704
943	7772	8694
944	7779	8684
945	7786	8675
946	7792	8665
947	7799	8654
948	7806	8645
949	7812	8634
950	7825	8631
951	7831	8621
952	7838	8612
953	7845	8601
954	7851	8591
955	7860	8583
956	7866	8573
957	7872	8563
958	7880	8554
959	7891	8548
960	7901	8543
961	7908	8533
962	7916	8524
963	7923	8515
964	7937	8513
965	7944	8503
966	7951	8493
967	7959	8486
968	7968	8478
969	7975	8468
970	7982	8458
971	7988	8448
972	7993	8437
973	8000	8427
974	8006	8417
975	8013	8407
976	8019	8397
977	8027	8388
978	8039	8384
979	8046	8374
980	8052	8364
981	8058	8354
982	8065	8344
983	8075	8338
984	8085	8331
985	8091	8321
986	8097	8311
987	8104	8301
988	8112	8293
989	8122	8287
990	8129	8277
991	8137	8268
992	8145	8260
993	8152	8251
994	8159	8241
995	8167	8232
996	8175	8224
997	8182	8215
998	8189	8205
999	8194	8194
1000	8201	8185
1001	8211	8178
1002	8217	8168
1003	8224	8158
1004	8230	8148
1005	8236	8138
1006	8243	8128
1007	8249	8118
1008	8255	8108
1009	8262	8098
1010	8269	8089
1011	8275	8079
1012	8282	8070
1013	8289	8060
1014	8295	8049
1015	8301	8039
1016	8309	8031
1017	8317	8023
1018	8324	8014
1019	8332	8005
1020	8343	7999
1021	8349	7990
1022	8356	7980
1023	8365	7973
1024	8372	7964
1025	8382	7957
1026	8389	7948
1027	8395	7938
1028	8402	7928
1029	8408	7918
1030	8419	7912
1031	8427	7904
1032	8433	7894
1033	8440	7885
1034	8446	7875
1035	8454	7866
1036	8461	7857
1037	8467	7847
1038	8474	7838
1039	8482	7829
1040	8490	7821
1041	8497	7812
1042	8503	7802
1043	8511	7794
1044	8521	7787
1045	8530	7780
1046	8538	7771
1047	8545	7762
1048	8551	7753
1049	8560	7745
1050	8568	7736
1051	8574	7726
1052	8581	7717
1053	8588	7708
1054	8595	7698
1055	8601	7689
1056	8607	7679
1057	8614	7669
1058	8620	7660
1059	8627	7650
1060	8634	7641
1061	8641	7632
1062	8648	7623
1063	8657	7616
1064	8664	7606
1065	8671	7597
1066	8677	7588
1067	8684	7578
1068	8697	7574
1069	8704	7565
1070	8710	7555
1071	8718	7547
1072	8726	7539
1073	8734	7530
1074	8740	7521
1075	8747	7511
1076	8755	7503
1077	8765	7497
1078	8772	7487
1079	8778	7477
1080	8785	7468
1081	8791	7458
1082	8797	7449
1083	8804	7439
1084	8811	7430
1085	8817	7421
1086	8824	7411
1087	8831	7403
1088	8838	7393
1089	8845	7384
1090	8852	7375
1091	8862	7369
1092	8877	7366
1093	8884	7357
1094	8891	7348
1095	8898	7339
1096	8904	7330
1097	8911	7320
1098	8919	7312
1099	8930	7306
1100	8941	7301
1101	8948	7292
1102	8956	7283
1103	8963	7274
1104	8969	7265
1105	8978	7257
1106	8984	7247
1107	8990	7237
1108	8997	7228
1109	9006	7221
1110	9013	7212
1111	9020	7203
1112	9027	7194
1113	9034	7185
1114	9040	7176
1115	9049	7167
1116	9055	7158
1117	9062	7149
1118	9070	7141
1119	9080	7134
1120	9088	7126
1121	9096	7118
1122	9103	7109
1123	9110	7100
1124	9116	7090
1125	9125	7083
1126	9132	7073
1127	9143	7068
1128	9151	7060
1129	9159	7052
1130	9166	7043
1131	9172	7033
1132	9181	7025
1133	9188	7016
1134	9194	7007
1135	9200	6997
1136	9207	6988
1137	9213	6979
1138	9220	6969
1139	9226	6960
1140	9232	6950
1141	9239	6942
1142	9247	6933
1143	9255	6925
1144	9261	6916
1145	9268	6906
1146	9275	6897
1147	9283	6889
1148	9291	6881
1149	9299	6873
1150	9308	6865
1151	9318	6859
1152	9327	6852
1153	9336	6844
1154	9348	6839
1155	9355	6830
1156	9362	6821
1157	9370	6813
1158	9376	6804
1159	9382	6794
1160	9388	6784
1161	9395	6775
1162	9401	6765
1163	9407	6756
1164	9413	6747
1165	9419	6737
1166	9426	6728
1167	9432	6719
1168	9438	6709
1169	9446	6701
1170	9453	6692
1171	9459	6682
1172	9465	6673
1173	9471	6664
1174	9480	6656
1175	9486	6647
1176	9493	6638
1177	9499	6628
1178	9506	6619
1179	9513	6610
1180	9520	6602
1181	9526	6593
1182	9533	6584
1183	9542	6576
1184	9554	6571
1185	9566	6566
1186	9573	6557
1187	9582	6549
1188	9590	6541
1189	9602	6536
1190	9609	6527
1191	9616	6518
1192	9623	6509
1193	9634	6503
1194	9652	6502
1195	9660	6493
1196	9667	6485
1197	9673	6475
1198	9683	6469
1199	9691	6460
1200	9697	6451
1201	9705	6443
1202	9712	6434
1203	9721	6426
1204	9728	6418
1205	9734	6409
1206	9741	6399
1207	9754	6395
1208	9762	6387
1209	9769	6378
1210	9776	6369
1211	9787	6363
1212	9795	6355
1213	9802	6346
1214	9809	6337
1215	9817	6329
1216	9831	6325
1217	9841	6318
1218	9852	6312
1219	9877	6314
1220	9898	6315
1221	9932	6323
1222	9941	6316
1223	9966	6318
1224	9976	6311
1225	9984	6303
1226	10049	6331
1227	10056	6322
1228	10064	6313
1229	10072	6305
1230	10080	6297
1231	10094	6292
1232	10105	6286
1233	10116	6279
1234	10145	6284
1235	10182	6294
1236	10191	6286
1237	10198	6277
1238	10217	6275
1239	10251	6283
1240	10285	6290
1241	10336	6308
1242	10348	6302
1243	10355	6293
1244	10363	6284
1245	10376	6279
1246	10389	6273
1247	10398	6265
1248	10437	6276
1249	10455	6273
1250	10476	6272
1251	10496	6271
1252	10513	6268
1253	10527	6262
1254	10534	6253
1255	10541	6244
1256	10547	6234
1257	10554	6225
1258	10561	6216
1259	10567	6206
1260	10574	6197
1261	10595	6195
1262	10612	6192
1263	10620	6183
1264	10628	6175
1265	10635	6166
1266	10643	6157
1267	10650	6148
1268	10656	6138
1269	10662	6129
1270	10670	6120
1271	10676	6110
1272	10683	6101
1273	10689	6091
1274	10696	6082
1275	10702	6072
1276	10709	6063
1277	10717	6055
1278	10730	6049
1279	10752	6048
1280	10769	6044
1281	10784	6040
1282	10794	6032
1283	10819	6033
1284	10840	6031
1285	10865	6032
1286	10876	6025
1287	10883	6016
1288	10899	6011
1289	10905	6002
1290	10911	5992
1291	10917	5982
1292	10924	5973
1293	10932	5964
1294	10939	5955
1295	10946	5946
1296	10952	5936
1297	10958	5926
1298	10966	5917
1299	10973	5908
1300	10979	5899
1301	10988	5890
1302	10999	5883
1303	11005	5874
1304	11016	5867
1305	11024	5858
1306	11035	5851
1307	11053	5848
1308	11064	5840
1309	11070	5831
1310	11090	5828
1311	11100	5821
1312	11128	5822
1313	11149	5821
1314	11165	5816
1315	11178	5810
1316	11193	5805
1317	11226	5809
1318	11249	5807
1319	11261	5801
1320	11274	5794
1321	11280	5785
1322	11296	5780
1323	11311	5775
1324	11327	5770
1325	11344	5766
1326	11359	5760
1327	11369	5753
1328	11377	5744
1329	11386	5736
1330	11399	5729
1331	11415	5725
1332	11428	5718
1333	11436	5709
1334	11443	5700
1335	11449	5690
1336	11457	5681
1337	11467	5673
1338	11474	5664
1339	11482	5655
1340	11488	5645
1341	11495	5636
1342	11503	5627
1343	11509	5617
